edition_id,card_id,card_type,sequence,name,qr_payload,qr_asset,decode_status,error
india,PRP_03,PROPERTY,,Rock Garden,MUB:P:03,Resources/Editions/india/PropertyCards/03_Property_Back_QR.png,SUCCESS,
india,PRP_04,PROPERTY,,Marine Drive,MUB:P:04,Resources/Editions/india/PropertyCards/04_Property_Back_QR.png,SUCCESS,
india,PRP_05,PROPERTY,,Juhu Beach,MUB:P:05,Resources/Editions/india/PropertyCards/05_Property_Back_QR.png,SUCCESS,
india,PRP_06,PROPERTY,,Hawa Mahal,MUB:P:06,Resources/Editions/india/PropertyCards/06_Property_Back_QR.png,SUCCESS,
india,PRP_07,PROPERTY,,Victoria Memorial,MUB:P:07,Resources/Editions/india/PropertyCards/07_Property_Back_QR.png,SUCCESS,
india,PRP_08,PROPERTY,,India Gate,MUB:P:08,Resources/Editions/india/PropertyCards/08_Property_Back_QR.png,SUCCESS,
india,PRP_09,PROPERTY,,Gateway of India,MUB:P:09,Resources/Editions/india/PropertyCards/09_Property_Back_QR.png,SUCCESS,
india,PRP_10,PROPERTY,,Mysore Palace,MUB:P:10,Resources/Editions/india/PropertyCards/10_Property_Back_QR.png,SUCCESS,
india,PRP_11,PROPERTY,,Red Fort,MUB:P:11,Resources/Editions/india/PropertyCards/11_Property_Back_QR.png,SUCCESS,
india,PRP_12,PROPERTY,,Qutub Minar,MUB:P:12,Resources/Editions/india/PropertyCards/12_Property_Back_QR.png,SUCCESS,
india,PRP_13,PROPERTY,,Amer Fort,MUB:P:13,Resources/Editions/india/PropertyCards/13_Property_Back_QR.png,SUCCESS,
india,PRP_14,PROPERTY,,Mehrangarh Fort,MUB:P:14,Resources/Editions/india/PropertyCards/14_Property_Back_QR.png,SUCCESS,
india,PRP_15,PROPERTY,,Jaisalmer Fort,MUB:P:15,Resources/Editions/india/PropertyCards/15_Property_Back_QR.png,SUCCESS,
india,PRP_16,PROPERTY,,Lake Pichola,MUB:P:16,Resources/Editions/india/PropertyCards/16_Property_Back_QR.png,SUCCESS,
india,PRP_17,PROPERTY,,Dal Lake,MUB:P:17,Resources/Editions/india/PropertyCards/17_Property_Back_QR.png,SUCCESS,
india,PRP_18,PROPERTY,,Kerala Backwaters,MUB:P:18,Resources/Editions/india/PropertyCards/18_Property_Back_QR.png,SUCCESS,
india,PRP_19,PROPERTY,,Rann of Kutch,MUB:P:19,Resources/Editions/india/PropertyCards/19_Property_Back_QR.png,SUCCESS,
india,PRP_20,PROPERTY,,Goa Beaches,MUB:P:20,Resources/Editions/india/PropertyCards/20_Property_Back_QR.png,SUCCESS,
india,PRP_21,PROPERTY,,Unity Road,MUB:P:21,Resources/Editions/india/PropertyCards/21_Property_Back_QR.png,SUCCESS,
india,PRP_22,PROPERTY,,Taj Mohalla,MUB:P:22,Resources/Editions/india/PropertyCards/22_Property_Back_QR.png,SUCCESS,
uk,EVT_01,EVENT,,Boom Town,MUB:E:E01,Resources/Editions/uk/EventCards/E01_Boom_Town_Back_QR.png,SUCCESS,
uk,EVT_02,EVENT,,Crime Down,MUB:E:E02,Resources/Editions/uk/EventCards/E02_Crime_Down_Back_QR.png,SUCCESS,
uk,EVT_03,EVENT,,Deal Of The Week,MUB:E:E03,Resources/Editions/uk/EventCards/E03_Deal_Of_The_Week_Back_QR.png,SUCCESS,
uk,EVT_04,EVENT,,Demolished,MUB:E:E04,Resources/Editions/uk/EventCards/E04_Demolished_Back_QR.png,SUCCESS,
uk,EVT_05,EVENT,,Grand Designs,MUB:E:E05,Resources/Editions/uk/EventCards/E05_Grand_Designs_Back_QR.png,SUCCESS,
uk,EVT_06,EVENT,,Haunted House,MUB:E:E06,Resources/Editions/uk/EventCards/E06_Haunted_House_Back_QR.png,SUCCESS,
uk,EVT_07,EVENT,,Highway Tax,MUB:E:E07,Resources/Editions/uk/EventCards/E07_Highway_Tax_Back_QR.png,SUCCESS,
uk,EVT_08,EVENT,,House Party,MUB:E:E08,Resources/Editions/uk/EventCards/E08_House_Party_Back_QR.png,SUCCESS,
uk,EVT_09,EVENT,,In The Money,MUB:E:E09,Resources/Editions/uk/EventCards/E09_In_The_Money_Back_QR.png,SUCCESS,
uk,EVT_10,EVENT,,It's A Boy!,MUB:E:E10,Resources/Editions/uk/EventCards/E10_Its_A_Boy_Back_QR.png,SUCCESS,
uk,EVT_11,EVENT,,Love Is In The Air,MUB:E:E11,Resources/Editions/uk/EventCards/E11_Love_Is_In_The_Air_Back_QR.png,SUCCESS,
uk,EVT_12,EVENT,,On The Map,MUB:E:E12,Resources/Editions/uk/EventCards/E12_On_The_Map_Back_QR.png,SUCCESS,
uk,EVT_13,EVENT,,On The Run,MUB:E:E13,Resources/Editions/uk/EventCards/E13_On_The_Run_Back_QR.png,SUCCESS,
uk,EVT_14,EVENT,,Pick Your Own,MUB:E:E14,Resources/Editions/uk/EventCards/E14_Pick_Your_Own_Back_QR.png,SUCCESS,
uk,EVT_15,EVENT,,Pong! What A Stinker,MUB:E:E15,Resources/Editions/uk/EventCards/E15_Pong_What_A_Stinker_Back_QR.png,SUCCESS,
uk,EVT_16,EVENT,,Rover's Revenge,MUB:E:E16,Resources/Editions/uk/EventCards/E16_Rovers_Revenge_Back_QR.png,SUCCESS,
uk,EVT_17,EVENT,,Stargazing,MUB:E:E17,Resources/Editions/uk/EventCards/E17_Stargazing_Back_QR.png,SUCCESS,
uk,EVT_18,EVENT,,Stop The Presses,MUB:E:E18,Resources/Editions/uk/EventCards/E18_Stop_The_Presses_Back_QR.png,SUCCESS,
uk,EVT_19,EVENT,,'Tis The Season,MUB:E:E19,Resources/Editions/uk/EventCards/E19_Tis_The_Season_Back_QR.png,SUCCESS,
uk,EVT_20,EVENT,,Tornado Alley,MUB:E:E20,Resources/Editions/uk/EventCards/E20_Tornado_Alley_Back_QR.png,SUCCESS,
uk,EVT_21,EVENT,,Total Gridlock,MUB:E:E21,Resources/Editions/uk/EventCards/E21_Total_Gridlock_Back_QR.png,SUCCESS,
uk,EVT_22,EVENT,,What A Ride!,MUB:E:E22,Resources/Editions/uk/EventCards/E22_What_A_Ride_Back_QR.png,SUCCESS,
uk,EVT_23,EVENT,,Wibble Wobble,MUB:E:E23,Resources/Editions/uk/EventCards/E23_Wibble_Wobble_Back_QR.png,SUCCESS,
uk,PRP_01,PROPERTY,,Old Kent Road,MUB:P:01,Resources/Editions/uk/PropertyCards/01_Property_Back_QR.png,SUCCESS,
uk,PRP_02,PROPERTY,,Whitechapel Road,MUB:P:02,Resources/Editions/uk/PropertyCards/02_Property_Back_QR.png,SUCCESS,
uk,PRP_03,PROPERTY,,"The Angel, Islington",MUB:P:03,Resources/Editions/uk/PropertyCards/03_Property_Back_QR.png,SUCCESS,
uk,PRP_04,PROPERTY,,Euston Road,MUB:P:04,Resources/Editions/uk/PropertyCards/04_Property_Back_QR.png,SUCCESS,
uk,PRP_05,PROPERTY,,Pentonville Road,MUB:P:05,Resources/Editions/uk/PropertyCards/05_Property_Back_QR.png,SUCCESS,
uk,PRP_06,PROPERTY,,Pall Mall,MUB:P:06,Resources/Editions/uk/PropertyCards/06_Property_Back_QR.png,SUCCESS,
uk,PRP_07,PROPERTY,,Whitehall,MUB:P:07,Resources/Editions/uk/PropertyCards/07_Property_Back_QR.png,SUCCESS,
uk,PRP_08,PROPERTY,,Northumberland Avenue,MUB:P:08,Resources/Editions/uk/PropertyCards/08_Property_Back_QR.png,SUCCESS,
uk,PRP_09,PROPERTY,,Bow Street,MUB:P:09,Resources/Editions/uk/PropertyCards/09_Property_Back_QR.png,SUCCESS,
uk,PRP_10,PROPERTY,,Marlborough Street,MUB:P:10,Resources/Editions/uk/PropertyCards/10_Property_Back_QR.png,SUCCESS,
uk,PRP_11,PROPERTY,,Vine Street,MUB:P:11,Resources/Editions/uk/PropertyCards/11_Property_Back_QR.png,SUCCESS,
uk,PRP_12,PROPERTY,,Strand,MUB:P:12,Resources/Editions/uk/PropertyCards/12_Property_Back_QR.png,SUCCESS,
uk,PRP_13,PROPERTY,,Fleet Street,MUB:P:13,Resources/Editions/uk/PropertyCards/13_Property_Back_QR.png,SUCCESS,
uk,PRP_14,PROPERTY,,Trafalgar Square,MUB:P:14,Resources/Editions/uk/PropertyCards/14_Property_Back_QR.png,SUCCESS,
uk,PRP_15,PROPERTY,,Leicester Square,MUB:P:15,Resources/Editions/uk/PropertyCards/15_Property_Back_QR.png,SUCCESS,
uk,PRP_16,PROPERTY,,Coventry Street,MUB:P:16,Resources/Editions/uk/PropertyCards/16_Property_Back_QR.png,SUCCESS,
uk,PRP_17,PROPERTY,,Piccadilly,MUB:P:17,Resources/Editions/uk/PropertyCards/17_Property_Back_QR.png,SUCCESS,
uk,PRP_18,PROPERTY,,Regent Street,MUB:P:18,Resources/Editions/uk/PropertyCards/18_Property_Back_QR.png,SUCCESS,
uk,PRP_19,PROPERTY,,Oxford Street,MUB:P:19,Resources/Editions/uk/PropertyCards/19_Property_Back_QR.png,SUCCESS,
uk,PRP_20,PROPERTY,,Bond Street,MUB:P:20,Resources/Editions/uk/PropertyCards/20_Property_Back_QR.png,SUCCESS,
uk,PRP_21,PROPERTY,,Park Lane,MUB:P:21,Resources/Editions/uk/PropertyCards/21_Property_Back_QR.png,SUCCESS,
uk,PRP_22,PROPERTY,,Mayfair,MUB:P:22,Resources/Editions/uk/PropertyCards/22_Property_Back_QR.png,SUCCESS,
