edition_id,category,card_id,canonical_name,qr_file,qr_payload,decode_status,error
india,EVENT,EVT_18,Metro Delay,Resources/Editions/india/EventCards/E18_Metro_Delay_Back_QR.png,MUB:E:E18,SUCCESS,
india,EVENT,EVT_19,Eminent Domain,Resources/Editions/india/EventCards/E19_Eminent_Domain_Back_QR.png,MUB:E:E19,SUCCESS,
india,EVENT,EVT_20,Economic Relief Grant,Resources/Editions/india/EventCards/E20_Economic_Relief_Grant_Back_QR.png,MUB:E:E20,SUCCESS,
india,EVENT,EVT_21,Wrong Terminal,Resources/Editions/india/EventCards/E21_Wrong_Terminal_Back_QR.png,MUB:E:E21,SUCCESS,
india,EVENT,EVT_22,Cloud Storage Subscription Renewal,Resources/Editions/india/EventCards/E22_Cloud_Storage_Subscription_Renewal_Back_QR.png,MUB:E:E22,SUCCESS,
india,EVENT,EVT_23,Beauty Contest Winner,Resources/Editions/india/EventCards/E23_Beauty_Contest_Winner_Back_QR.png,MUB:E:E23,SUCCESS,
india,EVENT,EVT_24,Second Wind,Resources/Editions/india/EventCards/E24_Second_Wind_Back_QR.png,MUB:E:E24,SUCCESS,
india,EVENT,EVT_25,Green Energy Rebate,Resources/Editions/india/EventCards/E25_Green_Energy_Rebate_Back_QR.png,MUB:E:E25,SUCCESS,
india,PROPERTY,PRP_01,Cubbon Park,Resources/Editions/india/PropertyCards/01_Property_Back_QR.png,MUB:P:01,SUCCESS,
india,PROPERTY,PRP_02,Lodhi Garden,Resources/Editions/india/PropertyCards/02_Property_Back_QR.png,MUB:P:02,SUCCESS,
india,PROPERTY,PRP_03,Rock Garden,Resources/Editions/india/PropertyCards/03_Property_Back_QR.png,MUB:P:03,SUCCESS,
india,PROPERTY,PRP_04,Marine Drive,Resources/Editions/india/PropertyCards/04_Property_Back_QR.png,MUB:P:04,SUCCESS,
india,PROPERTY,PRP_05,Juhu Beach,Resources/Editions/india/PropertyCards/05_Property_Back_QR.png,MUB:P:05,SUCCESS,
india,PROPERTY,PRP_06,Hawa Mahal,Resources/Editions/india/PropertyCards/06_Property_Back_QR.png,MUB:P:06,SUCCESS,
india,PROPERTY,PRP_07,Victoria Memorial,Resources/Editions/india/PropertyCards/07_Property_Back_QR.png,MUB:P:07,SUCCESS,
india,PROPERTY,PRP_08,India Gate,Resources/Editions/india/PropertyCards/08_Property_Back_QR.png,MUB:P:08,SUCCESS,
india,PROPERTY,PRP_09,Gateway of India,Resources/Editions/india/PropertyCards/09_Property_Back_QR.png,MUB:P:09,SUCCESS,
india,PROPERTY,PRP_10,Mysore Palace,Resources/Editions/india/PropertyCards/10_Property_Back_QR.png,MUB:P:10,SUCCESS,
india,PROPERTY,PRP_11,Red Fort,Resources/Editions/india/PropertyCards/11_Property_Back_QR.png,MUB:P:11,SUCCESS,
india,PROPERTY,PRP_12,Qutub Minar,Resources/Editions/india/PropertyCards/12_Property_Back_QR.png,MUB:P:12,SUCCESS,
india,PROPERTY,PRP_13,Amer Fort,Resources/Editions/india/PropertyCards/13_Property_Back_QR.png,MUB:P:13,SUCCESS,
india,PROPERTY,PRP_14,Mehrangarh Fort,Resources/Editions/india/PropertyCards/14_Property_Back_QR.png,MUB:P:14,SUCCESS,
india,PROPERTY,PRP_15,Jaisalmer Fort,Resources/Editions/india/PropertyCards/15_Property_Back_QR.png,MUB:P:15,SUCCESS,
india,PROPERTY,PRP_16,Lake Pichola,Resources/Editions/india/PropertyCards/16_Property_Back_QR.png,MUB:P:16,SUCCESS,
india,PROPERTY,PRP_17,Dal Lake,Resources/Editions/india/PropertyCards/17_Property_Back_QR.png,MUB:P:17,SUCCESS,
india,PROPERTY,PRP_18,Kerala Backwaters,Resources/Editions/india/PropertyCards/18_Property_Back_QR.png,MUB:P:18,SUCCESS,
india,PROPERTY,PRP_19,Rann of Kutch,Resources/Editions/india/PropertyCards/19_Property_Back_QR.png,MUB:P:19,SUCCESS,
india,PROPERTY,PRP_20,Goa Beaches,Resources/Editions/india/PropertyCards/20_Property_Back_QR.png,MUB:P:20,SUCCESS,
india,PROPERTY,PRP_21,Unity Road,Resources/Editions/india/PropertyCards/21_Property_Back_QR.png,MUB:P:21,SUCCESS,
india,PROPERTY,PRP_22,Taj Mohalla,Resources/Editions/india/PropertyCards/22_Property_Back_QR.png,MUB:P:22,SUCCESS,
uk,EVENT,EVT_01,Boom Town,Resources/Editions/uk/EventCards/E01_Boom_Town_Back_QR.png,MUB:E:E01,SUCCESS,
uk,EVENT,EVT_02,Crime Down,Resources/Editions/uk/EventCards/E02_Crime_Down_Back_QR.png,MUB:E:E02,SUCCESS,
uk,EVENT,EVT_03,Deal Of The Week,Resources/Editions/uk/EventCards/E03_Deal_Of_The_Week_Back_QR.png,MUB:E:E03,SUCCESS,
uk,EVENT,EVT_04,Demolished,Resources/Editions/uk/EventCards/E04_Demolished_Back_QR.png,MUB:E:E04,SUCCESS,
uk,EVENT,EVT_05,Grand Designs,Resources/Editions/uk/EventCards/E05_Grand_Designs_Back_QR.png,MUB:E:E05,SUCCESS,
uk,EVENT,EVT_06,Haunted House,Resources/Editions/uk/EventCards/E06_Haunted_House_Back_QR.png,MUB:E:E06,SUCCESS,
uk,EVENT,EVT_07,Highway Tax,Resources/Editions/uk/EventCards/E07_Highway_Tax_Back_QR.png,MUB:E:E07,SUCCESS,
uk,EVENT,EVT_08,House Party,Resources/Editions/uk/EventCards/E08_House_Party_Back_QR.png,MUB:E:E08,SUCCESS,
uk,EVENT,EVT_09,In The Money,Resources/Editions/uk/EventCards/E09_In_The_Money_Back_QR.png,MUB:E:E09,SUCCESS,
uk,EVENT,EVT_10,It's A Boy!,Resources/Editions/uk/EventCards/E10_Its_A_Boy_Back_QR.png,MUB:E:E10,SUCCESS,
uk,EVENT,EVT_11,Love Is In The Air,Resources/Editions/uk/EventCards/E11_Love_Is_In_The_Air_Back_QR.png,MUB:E:E11,SUCCESS,
uk,EVENT,EVT_12,On The Map,Resources/Editions/uk/EventCards/E12_On_The_Map_Back_QR.png,MUB:E:E12,SUCCESS,
uk,EVENT,EVT_13,On The Run,Resources/Editions/uk/EventCards/E13_On_The_Run_Back_QR.png,MUB:E:E13,SUCCESS,
uk,EVENT,EVT_14,Pick Your Own,Resources/Editions/uk/EventCards/E14_Pick_Your_Own_Back_QR.png,MUB:E:E14,SUCCESS,
uk,EVENT,EVT_15,Pong! What A Stinker,Resources/Editions/uk/EventCards/E15_Pong_What_A_Stinker_Back_QR.png,MUB:E:E15,SUCCESS,
uk,EVENT,EVT_16,Rover's Revenge,Resources/Editions/uk/EventCards/E16_Rovers_Revenge_Back_QR.png,MUB:E:E16,SUCCESS,
uk,EVENT,EVT_17,Stargazing,Resources/Editions/uk/EventCards/E17_Stargazing_Back_QR.png,MUB:E:E17,SUCCESS,
uk,EVENT,EVT_18,Stop The Presses,Resources/Editions/uk/EventCards/E18_Stop_The_Presses_Back_QR.png,MUB:E:E18,SUCCESS,
uk,EVENT,EVT_19,'Tis The Season,Resources/Editions/uk/EventCards/E19_Tis_The_Season_Back_QR.png,MUB:E:E19,SUCCESS,
uk,EVENT,EVT_20,Tornado Alley,Resources/Editions/uk/EventCards/E20_Tornado_Alley_Back_QR.png,MUB:E:E20,SUCCESS,
uk,EVENT,EVT_21,Total Gridlock,Resources/Editions/uk/EventCards/E21_Total_Gridlock_Back_QR.png,MUB:E:E21,SUCCESS,
uk,EVENT,EVT_22,What A Ride!,Resources/Editions/uk/EventCards/E22_What_A_Ride_Back_QR.png,MUB:E:E22,SUCCESS,
uk,EVENT,EVT_23,Wibble Wobble,Resources/Editions/uk/EventCards/E23_Wibble_Wobble_Back_QR.png,MUB:E:E23,SUCCESS,
uk,PROPERTY,PRP_01,Old Kent Road,Resources/Editions/uk/PropertyCards/01_Property_Back_QR.png,MUB:P:01,SUCCESS,
uk,PROPERTY,PRP_02,Whitechapel Road,Resources/Editions/uk/PropertyCards/02_Property_Back_QR.png,MUB:P:02,SUCCESS,
uk,PROPERTY,PRP_03,"The Angel, Islington",Resources/Editions/uk/PropertyCards/03_Property_Back_QR.png,MUB:P:03,SUCCESS,
uk,PROPERTY,PRP_04,Euston Road,Resources/Editions/uk/PropertyCards/04_Property_Back_QR.png,MUB:P:04,SUCCESS,
uk,PROPERTY,PRP_05,Pentonville Road,Resources/Editions/uk/PropertyCards/05_Property_Back_QR.png,MUB:P:05,SUCCESS,
uk,PROPERTY,PRP_06,Pall Mall,Resources/Editions/uk/PropertyCards/06_Property_Back_QR.png,MUB:P:06,SUCCESS,
uk,PROPERTY,PRP_07,Whitehall,Resources/Editions/uk/PropertyCards/07_Property_Back_QR.png,MUB:P:07,SUCCESS,
uk,PROPERTY,PRP_08,Northumberland Avenue,Resources/Editions/uk/PropertyCards/08_Property_Back_QR.png,MUB:P:08,SUCCESS,
uk,PROPERTY,PRP_09,Bow Street,Resources/Editions/uk/PropertyCards/09_Property_Back_QR.png,MUB:P:09,SUCCESS,
uk,PROPERTY,PRP_10,Marlborough Street,Resources/Editions/uk/PropertyCards/10_Property_Back_QR.png,MUB:P:10,SUCCESS,
uk,PROPERTY,PRP_11,Vine Street,Resources/Editions/uk/PropertyCards/11_Property_Back_QR.png,MUB:P:11,SUCCESS,
uk,PROPERTY,PRP_12,Strand,Resources/Editions/uk/PropertyCards/12_Property_Back_QR.png,MUB:P:12,SUCCESS,
uk,PROPERTY,PRP_13,Fleet Street,Resources/Editions/uk/PropertyCards/13_Property_Back_QR.png,MUB:P:13,SUCCESS,
uk,PROPERTY,PRP_14,Trafalgar Square,Resources/Editions/uk/PropertyCards/14_Property_Back_QR.png,MUB:P:14,SUCCESS,
uk,PROPERTY,PRP_15,Leicester Square,Resources/Editions/uk/PropertyCards/15_Property_Back_QR.png,MUB:P:15,SUCCESS,
uk,PROPERTY,PRP_16,Coventry Street,Resources/Editions/uk/PropertyCards/16_Property_Back_QR.png,MUB:P:16,SUCCESS,
uk,PROPERTY,PRP_17,Piccadilly,Resources/Editions/uk/PropertyCards/17_Property_Back_QR.png,MUB:P:17,SUCCESS,
uk,PROPERTY,PRP_18,Regent Street,Resources/Editions/uk/PropertyCards/18_Property_Back_QR.png,MUB:P:18,SUCCESS,
uk,PROPERTY,PRP_19,Oxford Street,Resources/Editions/uk/PropertyCards/19_Property_Back_QR.png,MUB:P:19,SUCCESS,
uk,PROPERTY,PRP_20,Bond Street,Resources/Editions/uk/PropertyCards/20_Property_Back_QR.png,MUB:P:20,SUCCESS,
uk,PROPERTY,PRP_21,Park Lane,Resources/Editions/uk/PropertyCards/21_Property_Back_QR.png,MUB:P:21,SUCCESS,
uk,PROPERTY,PRP_22,Mayfair,Resources/Editions/uk/PropertyCards/22_Property_Back_QR.png,MUB:P:22,SUCCESS,
